"1.1.1-md","[SC 1.1.1 Non-text Content](https://www.w3.org/TR/WCAG22/#non-text-content)","1.1.1 Non-text Content (Markdown link)"
"1.2.1-md","[SC 1.2.1 Audio-only and Video-only (Prerecorded)](https://www.w3.org/TR/WCAG22/#audio-only-and-video-only-prerecorded)","1.2.1 Audio-only and Video-only (Prerecorded) (Markdown link)"
"1.2.2-md","[SC 1.2.2 Captions (Prerecorded)](https://www.w3.org/TR/WCAG22/#captions-prerecorded)","1.2.2 Captions (Prerecorded) (Markdown link)"
"1.2.3-md","[SC 1.2.3 Audio Description or Media Alternative (Prerecorded)](https://www.w3.org/TR/WCAG22/#audio-description-or-media-alternative-prerecorded)","1.2.3 Audio Description or Media Alternative (Prerecorded) (Markdown link)"
"1.3.1-md","[SC 1.3.1 Info and Relationships](https://www.w3.org/TR/WCAG22/#info-and-relationships)","1.3.1 Info and Relationships (Markdown link)"
"1.3.2-md","[SC 1.3.2 Meaningful Sequence](https://www.w3.org/TR/WCAG22/#meaningful-sequence)","1.3.2 Meaningful Sequence (Markdown link)"
"1.3.3-md","[SC 1.3.3 Sensory Characteristics](https://www.w3.org/TR/WCAG22/#sensory-characteristics)","1.3.3 Sensory Characteristics (Markdown link)"
"1.4.1-md","[SC 1.4.1 Use of Color](https://www.w3.org/TR/WCAG22/#use-of-color)","1.4.1 Use of Color (Markdown link)"
"1.4.2-md","[SC 1.4.2 Audio Control](https://www.w3.org/TR/WCAG22/#audio-control)","1.4.2 Audio Control (Markdown link)"
"2.1.1-md","[SC 2.1.1 Keyboard](https://www.w3.org/TR/WCAG22/#keyboard)","2.1.1 Keyboard (Markdown link)"
"2.1.2-md","[SC 2.1.2 No Keyboard Trap](https://www.w3.org/TR/WCAG22/#no-keyboard-trap)","2.1.2 No Keyboard Trap (Markdown link)"
"2.1.4-md","[SC 2.1.4 Character Key Shortcuts](https://www.w3.org/TR/WCAG22/#character-key-shortcuts)","2.1.4 Character Key Shortcuts (Markdown link)"
"2.2.1-md","[SC 2.2.1 Timing Adjustable](https://www.w3.org/TR/WCAG22/#timing-adjustable)","2.2.1 Timing Adjustable (Markdown link)"
"2.2.2-md","[SC 2.2.2 Pause, Stop, Hide](https://www.w3.org/TR/WCAG22/#pause-stop-hide)","2.2.2 Pause, Stop, Hide (Markdown link)"
"2.3.1-md","[SC 2.3.1 Three Flashes or Below Threshold](https://www.w3.org/TR/WCAG22/#three-flashes-or-below-threshold)","2.3.1 Three Flashes or Below Threshold (Markdown link)"
"2.4.1-md","[SC 2.4.1 Bypass Blocks](https://www.w3.org/TR/WCAG22/#bypass-blocks)","2.4.1 Bypass Blocks (Markdown link)"
"2.4.2-md","[SC 2.4.2 Page Titled](https://www.w3.org/TR/WCAG22/#page-titled)","2.4.2 Page Titled (Markdown link)"
"2.4.3-md","[SC 2.4.3 Focus Order](https://www.w3.org/TR/WCAG22/#focus-order)","2.4.3 Focus Order (Markdown link)"
"2.4.4-md","[SC 2.4.4 Link Purpose (In Context)](https://www.w3.org/TR/WCAG22/#link-purpose-in-context)","2.4.4 Link Purpose (In Context) (Markdown link)"
"2.5.1-md","[SC 2.5.1 Pointer Gestures](https://www.w3.org/TR/WCAG22/#pointer-gestures)","2.5.1 Pointer Gestures (Markdown link)"
"2.5.2-md","[SC 2.5.2 Pointer Cancellation](https://www.w3.org/TR/WCAG22/#pointer-cancellation)","2.5.2 Pointer Cancellation (Markdown link)"
"2.5.3-md","[SC 2.5.3 Label in Name](https://www.w3.org/TR/WCAG22/#label-in-name)","2.5.3 Label in Name (Markdown link)"
"2.5.4-md","[SC 2.5.4 Motion Actuation](https://www.w3.org/TR/WCAG22/#motion-actuation)","2.5.4 Motion Actuation (Markdown link)"
"3.1.1-md","[SC 3.1.1 Language of Page](https://www.w3.org/TR/WCAG22/#language-of-page)","3.1.1 Language of Page (Markdown link)"
"3.2.1-md","[SC 3.2.1 On Focus](https://www.w3.org/TR/WCAG22/#on-focus)","3.2.1 On Focus (Markdown link)"
"3.2.2-md","[SC 3.2.2 On Input](https://www.w3.org/TR/WCAG22/#on-input)","3.2.2 On Input (Markdown link)"
"3.3.1-md","[SC 3.3.1 Error Identification](https://www.w3.org/TR/WCAG22/#error-identification)","3.3.1 Error Identification (Markdown link)"
"3.3.2-md","[SC 3.3.2 Labels or Instructions](https://www.w3.org/TR/WCAG22/#labels-or-instructions)","3.3.2 Labels or Instructions (Markdown link)"
"4.1.1-md","[SC 4.1.1 Parsing](https://www.w3.org/TR/WCAG22/#parsing)","4.1.1 Parsing (Markdown link)"
"4.1.2-md","[SC 4.1.2 Name, Role, Value](https://www.w3.org/TR/WCAG22/#name-role-value)","4.1.2 Name, Role, Value (Markdown link)"
"1.2.4-md","[SC 1.2.4 Captions (Live)](https://www.w3.org/TR/WCAG22/#captions-live)","1.2.4 Captions (Live) (Markdown link)"
"1.2.5-md","[SC 1.2.5 Audio Description (Prerecorded)](https://www.w3.org/TR/WCAG22/#audio-description-prerecorded)","1.2.5 Audio Description (Prerecorded) (Markdown link)"
"1.3.4-md","[SC 1.3.4 Orientation](https://www.w3.org/TR/WCAG22/#orientation)","1.3.4 Orientation (Markdown link)"
"1.3.5-md","[SC 1.3.5 Identify Input Purpose](https://www.w3.org/TR/WCAG22/#identify-input-purpose)","1.3.5 Identify Input Purpose (Markdown link)"
"1.4.3-md","[SC 1.4.3 Contrast (Minimum)](https://www.w3.org/TR/WCAG22/#contrast-minimum)","1.4.3 Contrast (Minimum) (Markdown link)"
"1.4.4-md","[SC 1.4.4 Resize Text](https://www.w3.org/TR/WCAG22/#resize-text)","1.4.4 Resize Text (Markdown link)"
"1.4.5-md","[SC 1.4.5 Images of Text](https://www.w3.org/TR/WCAG22/#images-of-text)","1.4.5 Images of Text (Markdown link)"
"1.4.10-md","[SC 1.4.10 Reflow](https://www.w3.org/TR/WCAG22/#reflow)","1.4.10 Reflow (Markdown link)"
"1.4.11-md","[SC 1.4.11 Non-text Contrast](https://www.w3.org/TR/WCAG22/#non-text-contrast)","1.4.11 Non-text Contrast (Markdown link)"
"1.4.12-md","[SC 1.4.12 Text Spacing](https://www.w3.org/TR/WCAG22/#text-spacing)","1.4.12 Text Spacing (Markdown link)"
"1.4.13-md","[SC 1.4.13 Content on Hover or Focus](https://www.w3.org/TR/WCAG22/#content-on-hover-or-focus)","1.4.13 Content on Hover or Focus (Markdown link)"
"2.4.5-md","[SC 2.4.5 Multiple Ways](https://www.w3.org/TR/WCAG22/#multiple-ways)","2.4.5 Multiple Ways (Markdown link)"
"2.4.6-md","[SC 2.4.6 Headings and Labels](https://www.w3.org/TR/WCAG22/#headings-and-labels)","2.4.6 Headings and Labels (Markdown link)"
"2.4.7-md","[SC 2.4.7 Focus Visible](https://www.w3.org/TR/WCAG22/#focus-visible)","2.4.7 Focus Visible (Markdown link)"
"3.1.2-md","[SC 3.1.2 Language of Parts](https://www.w3.org/TR/WCAG22/#language-of-parts)","3.1.2 Language of Parts (Markdown link)"
"3.2.3-md","[SC 3.2.3 Consistent Navigation](https://www.w3.org/TR/WCAG22/#consistent-navigation)","3.2.3 Consistent Navigation (Markdown link)"
"3.2.4-md","[SC 3.2.4 Consistent Identification](https://www.w3.org/TR/WCAG22/#consistent-identification)","3.2.4 Consistent Identification (Markdown link)"
"3.3.3-md","[SC 3.3.3 Error Suggestion](https://www.w3.org/TR/WCAG22/#error-suggestion)","3.3.3 Error Suggestion (Markdown link)"
"3.3.4-md","[SC 3.3.4 Error Prevention (Legal, Financial, Data)](https://www.w3.org/TR/WCAG22/#error-prevention-legal-financial-data)","3.3.4 Error Prevention (Legal, Financial, Data) (Markdown link)"
"4.1.3-md","[SC 4.1.3 Status Messages](https://www.w3.org/TR/WCAG22/#status-messages)","4.1.3 Status Messages (Markdown link)"
"1.2.6-md","[SC 1.2.6 Sign Language (Prerecorded)](https://www.w3.org/TR/WCAG22/#sign-language-prerecorded)","1.2.6 Sign Language (Prerecorded) (Markdown link)"
"1.2.7-md","[SC 1.2.7 Extended Audio Description (Prerecorded)](https://www.w3.org/TR/WCAG22/#extended-audio-description-prerecorded)","1.2.7 Extended Audio Description (Prerecorded) (Markdown link)"
"1.2.8-md","[SC 1.2.8 Media Alternative (Prerecorded)](https://www.w3.org/TR/WCAG22/#media-alternative-prerecorded)","1.2.8 Media Alternative (Prerecorded) (Markdown link)"
"1.2.9-md","[SC 1.2.9 Audio-only (Live)](https://www.w3.org/TR/WCAG22/#audio-only-live)","1.2.9 Audio-only (Live) (Markdown link)"
"1.3.6-md","[SC 1.3.6 Identify Purpose](https://www.w3.org/TR/WCAG22/#identify-purpose)","1.3.6 Identify Purpose (Markdown link)"
"1.4.6-md","[SC 1.4.6 Contrast (Enhanced)](https://www.w3.org/TR/WCAG22/#contrast-enhanced)","1.4.6 Contrast (Enhanced) (Markdown link)"
"1.4.7-md","[SC 1.4.7 Low or No Background Audio](https://www.w3.org/TR/WCAG22/#low-or-no-background-audio)","1.4.7 Low or No Background Audio (Markdown link)"
"1.4.8-md","[SC 1.4.8 Visual Presentation](https://www.w3.org/TR/WCAG22/#visual-presentation)","1.4.8 Visual Presentation (Markdown link)"
"1.4.9-md","[SC 1.4.9 Images of Text (No Exception)](https://www.w3.org/TR/WCAG22/#images-of-text-no-exception)","1.4.9 Images of Text (No Exception) (Markdown link)"
"2.1.3-md","[SC 2.1.3 Keyboard (No Exception)](https://www.w3.org/TR/WCAG22/#keyboard-no-exception)","2.1.3 Keyboard (No Exception) (Markdown link)"
"2.2.3-md","[SC 2.2.3 No Timing](https://www.w3.org/TR/WCAG22/#no-timing)","2.2.3 No Timing (Markdown link)"
"2.2.4-md","[SC 2.2.4 Interruptions](https://www.w3.org/TR/WCAG22/#interruptions)","2.2.4 Interruptions (Markdown link)"
"2.2.5-md","[SC 2.2.5 Re-authenticating](https://www.w3.org/TR/WCAG22/#re-authenticating)","2.2.5 Re-authenticating (Markdown link)"
"2.2.6-md","[SC 2.2.6 Timeouts](https://www.w3.org/TR/WCAG22/#timeouts)","2.2.6 Timeouts (Markdown link)"
"2.3.2-md","[SC 2.3.2 Three Flashes](https://www.w3.org/TR/WCAG22/#three-flashes)","2.3.2 Three Flashes (Markdown link)"
"2.3.3-md","[SC 2.3.3 Animation from Interactions](https://www.w3.org/TR/WCAG22/#animation-from-interactions)","2.3.3 Animation from Interactions (Markdown link)"
"2.4.8-md","[SC 2.4.8 Location](https://www.w3.org/TR/WCAG22/#location)","2.4.8 Location (Markdown link)"
"2.4.9-md","[SC 2.4.9 Link Purpose (Link Only)](https://www.w3.org/TR/WCAG22/#link-purpose-link-only)","2.4.9 Link Purpose (Link Only) (Markdown link)"
"2.4.10-md","[SC 2.4.10 Section Headings](https://www.w3.org/TR/WCAG22/#section-headings)","2.4.10 Section Headings (Markdown link)"
"2.5.5-md","[SC 2.5.5 Target Size](https://www.w3.org/TR/WCAG22/#target-size)","2.5.5 Target Size (Markdown link)"
"2.5.6-md","[SC 2.5.6 Concurrent Input Mechanisms](https://www.w3.org/TR/WCAG22/#concurrent-input-mechanisms)","2.5.6 Concurrent Input Mechanisms (Markdown link)"
"3.1.3-md","[SC 3.1.3 Unusual Words](https://www.w3.org/TR/WCAG22/#unusual-words)","3.1.3 Unusual Words (Markdown link)"
"3.1.4-md","[SC 3.1.4 Abbreviations](https://www.w3.org/TR/WCAG22/#abbreviations)","3.1.4 Abbreviations (Markdown link)"
"3.1.5-md","[SC 3.1.5 Reading Level](https://www.w3.org/TR/WCAG22/#reading-level)","3.1.5 Reading Level (Markdown link)"
"3.1.6-md","[SC 3.1.6 Pronunciation](https://www.w3.org/TR/WCAG22/#pronunciation)","3.1.6 Pronunciation (Markdown link)"
"3.2.5-md","[SC 3.2.5 Change on Request](https://www.w3.org/TR/WCAG22/#change-on-request)","3.2.5 Change on Request (Markdown link)"
"3.3.5-md","[SC 3.3.5 Help](https://www.w3.org/TR/WCAG22/#help)","3.3.5 Help (Markdown link)"
"3.3.6-md","[SC 3.3.6 Error Prevention (All)](https://www.w3.org/TR/WCAG22/#error-prevention-all)","3.3.6 Error Prevention (All) (Markdown link)"
